GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
java.br.com.ligacao:ligacao,br.com.ligacao.services,PromotorFisicoService,277,25,34,4,70,6,23,5,5,4
java.br.com.ligacao:ligacao,br.com.ligacao.services,AcaoService,368,22,41,0,116,5,29,2,6,2
java.br.com.ligacao:ligacao,br.com.ligacao.services,VoluntarioService,43,11,4,0,17,2,3,2,1,2
java.br.com.ligacao:ligacao,br.com.ligacao.services,PromotorJuridicoService,83,20,7,3,24,5,8,3,3,3
java.br.com.ligacao:ligacao,br.com.ligacao.services,InscreverService,16,5,2,0,6,1,2,1,1,1
java.br.com.ligacao:ligacao,br.com.ligacao,Main,20,10,5,0,13,2,5,2,1,2
java.br.com.ligacao:ligacao,br.com.ligacao.persistence.model,PromotorJuridico,86,132,2,0,6,54,4,27,3,27
java.br.com.ligacao:ligacao,br.com.ligacao.persistence.model,PromotorDAO,408,315,20,4,104,76,19,7,9,5
java.br.com.ligacao:ligacao,br.com.ligacao.persistence.model,VoluntarioREF,15,10,0,0,4,5,2,3,2,3
java.br.com.ligacao:ligacao,br.com.ligacao.persistence.model,VoluntarioDAO,3,312,0,2,1,66,1,6,1,5
java.br.com.ligacao:ligacao,br.com.ligacao.persistence.model,Acao,51,86,0,0,4,33,3,16,3,16
java.br.com.ligacao:ligacao,br.com.ligacao.persistence.model,Login,22,18,0,0,5,8,3,4,3,4
java.br.com.ligacao:ligacao,br.com.ligacao.persistence.model,PromotorFisico,76,113,2,0,6,46,4,23,3,23
java.br.com.ligacao:ligacao,br.com.ligacao.persistence.model,AcaoDAO,25,294,1,13,9,74,2,11,1,5
java.br.com.ligacao:ligacao,br.com.ligacao.persistence.model,Voluntario,35,43,0,0,15,17,10,6,10,6
java.br.com.ligacao:ligacao,br.com.ligacao.client.apps,VoluntarioApp,10,27,3,0,7,6,2,2,0,2
java.br.com.ligacao:ligacao,br.com.ligacao.client.apps,AcaoApp,24,12,5,0,15,3,5,1,1,1
java.br.com.ligacao:ligacao,br.com.ligacao.client.apps,PromotorApp,68,54,17,0,46,15,17,3,5,3
java.br.com.ligacao:ligacao,br.com.ligacao.client.apps,InscreverApp,34,24,1,1,6,6,1,2,0,2
java.br.com.ligacao:ligacao,br.com.ligacao.persistence.connection,Connection,6,44,0,0,3,17,1,2,1,2
java.br.com.ligacao:ligacao,br.com.ligacao.client.forms,FormulariosSolicitacao,1684,45,70,0,398,10,45,3,9,3
